dc:title,prism:publicationName,prism:coverDate
A 3D digital approach for the study and presentation of the Bisarcio site,CAA2016: Oceans of Data Proceedings of the 44th Conference on Computer Applications and Quantitative Methods in Archaeology,2018-12-31
An ontology for a numismatic Island with bridges to others,CAA2016: Oceans of Data Proceedings of the 44th Conference on Computer Applications and Quantitative Methods in Archaeology,2018-12-31
When data meets the enterprise: How Flanders Heritage Agency turned a merger of organisations into a confluence of information,CAA2016: Oceans of Data Proceedings of the 44th Conference on Computer Applications and Quantitative Methods in Archaeology,2018-12-31
Supercomputing at the Trench Edge: Expediting image based 3D recoding,CAA2016: Oceans of Data Proceedings of the 44th Conference on Computer Applications and Quantitative Methods in Archaeology,2018-12-31
DOHA - Doha online historical atlas,CAA2016: Oceans of Data Proceedings of the 44th Conference on Computer Applications and Quantitative Methods in Archaeology,2018-12-31
A multidisciplinary project for the study of historical landscapes: New archaeological and physicochemical data from the 'Colline Metallifere' district,CAA2016: Oceans of Data Proceedings of the 44th Conference on Computer Applications and Quantitative Methods in Archaeology,2018-12-31
Digital data recording at Circus Maximus: A recent experience,CAA2016: Oceans of Data Proceedings of the 44th Conference on Computer Applications and Quantitative Methods in Archaeology,2018-12-31
Semi-automatic mapping of charcoal kilns from airborne laser scanning data using deep learning,CAA2016: Oceans of Data Proceedings of the 44th Conference on Computer Applications and Quantitative Methods in Archaeology,2018-12-31
Vertical aspects of stone age distribution in South-East Norway,CAA2016: Oceans of Data Proceedings of the 44th Conference on Computer Applications and Quantitative Methods in Archaeology,2018-12-31
Archaeological education for a digital world: Case studies from the contemporary and historical US,CAA2016: Oceans of Data Proceedings of the 44th Conference on Computer Applications and Quantitative Methods in Archaeology,2018-12-31
"Emerging technologies for archaeological heritage: Knowledge, digital documentation, and communication",CAA2016: Oceans of Data Proceedings of the 44th Conference on Computer Applications and Quantitative Methods in Archaeology,2018-12-31
Evolving Hominins in HomininSpace: Genetic algorithms and the search for the 'Perfect' Neanderthal,CAA2016: Oceans of Data Proceedings of the 44th Conference on Computer Applications and Quantitative Methods in Archaeology,2018-12-31
Foreword,CAA2016: Oceans of Data Proceedings of the 44th Conference on Computer Applications and Quantitative Methods in Archaeology,2018-12-31
Crossroads: LCP - Model testing and historical paths during the iron age in the North-East Iberian Peninsula (4th to 1st Centuries BC),CAA2016: Oceans of Data Proceedings of the 44th Conference on Computer Applications and Quantitative Methods in Archaeology,2018-12-31
The role of representation in archaeological architecture,CAA2016: Oceans of Data Proceedings of the 44th Conference on Computer Applications and Quantitative Methods in Archaeology,2018-12-31
DOMUS: Cyber-archaeology and education,CAA2016: Oceans of Data Proceedings of the 44th Conference on Computer Applications and Quantitative Methods in Archaeology,2018-12-31
Geometric graphs to study ceramic decoration,CAA2016: Oceans of Data Proceedings of the 44th Conference on Computer Applications and Quantitative Methods in Archaeology,2018-12-31
Digital archaeological dissemination: Eleniana Domus in Rome,CAA2016: Oceans of Data Proceedings of the 44th Conference on Computer Applications and Quantitative Methods in Archaeology,2018-12-31
Closing a gap with a simple toy: How the use of the tablet affected the documentation workflow during the excavations of the Rozprza Ring-Fort (Central Poland),CAA2016: Oceans of Data Proceedings of the 44th Conference on Computer Applications and Quantitative Methods in Archaeology,2018-12-31
An agent-based approach to weighted decision making in the spatially and temporally variable South African Paleoscape,CAA2016: Oceans of Data Proceedings of the 44th Conference on Computer Applications and Quantitative Methods in Archaeology,2018-12-31
Boundaries of agrarian production in the Bergisches Land in 1715 AD,CAA2016: Oceans of Data Proceedings of the 44th Conference on Computer Applications and Quantitative Methods in Archaeology,2018-12-31
3D spatial analysis: The road ahead,CAA2016: Oceans of Data Proceedings of the 44th Conference on Computer Applications and Quantitative Methods in Archaeology,2018-12-31
Teaching GIS in archaeology: What students focus on,CAA2016: Oceans of Data Proceedings of the 44th Conference on Computer Applications and Quantitative Methods in Archaeology,2018-12-31
Methodological tips for mappings to CIDOC CRM,CAA2016: Oceans of Data Proceedings of the 44th Conference on Computer Applications and Quantitative Methods in Archaeology,2018-12-31
Digital archives - More than just a skeuomorph,CAA2016: Oceans of Data Proceedings of the 44th Conference on Computer Applications and Quantitative Methods in Archaeology,2018-12-31
CAA2016: Oceans of Data Proceedings of the 44th Conference on Computer Applications and Quantitative Methods in Archaeology,CAA2016: Oceans of Data Proceedings of the 44th Conference on Computer Applications and Quantitative Methods in Archaeology,2018-12-31
"Fasti online: Excavation, conservation and surveys. Twelve years of open access archaeological data online",CAA2016: Oceans of Data Proceedings of the 44th Conference on Computer Applications and Quantitative Methods in Archaeology,2018-12-31
Systematic literature review on automated monument detection: A remote investigation on patterns within the field of automated monument detection,CAA2016: Oceans of Data Proceedings of the 44th Conference on Computer Applications and Quantitative Methods in Archaeology,2018-12-31
Bioarchaeology module loading...please hold. Recording human bioarchaeological data from Portuguese archaeological field reports,CAA2016: Oceans of Data Proceedings of the 44th Conference on Computer Applications and Quantitative Methods in Archaeology,2018-12-31
On roof construction and wall strength: Non-linear structural integrity analysis of the Early Bronze Age Helike Corridor House,CAA2016: Oceans of Data Proceedings of the 44th Conference on Computer Applications and Quantitative Methods in Archaeology,2018-12-31
Oceans of data: Creating a safe haven for information,CAA2016: Oceans of Data Proceedings of the 44th Conference on Computer Applications and Quantitative Methods in Archaeology,2018-12-31
Documenting facades of Etruscan Rock-Cut Tombs: From 3D recording to archaeological analysis,CAA2016: Oceans of Data Proceedings of the 44th Conference on Computer Applications and Quantitative Methods in Archaeology,2018-12-31
Integrating analytical with digital data in archaeology: Towards a multidisciplinary ontological solution. The Salamis Terracotta Statues case-study,CAA2016: Oceans of Data Proceedings of the 44th Conference on Computer Applications and Quantitative Methods in Archaeology,2018-12-31
Teaching archaeology or teaching digital archaeology: Do we have to choose?,CAA2016: Oceans of Data Proceedings of the 44th Conference on Computer Applications and Quantitative Methods in Archaeology,2018-12-31
Formalization and reuse of methodological knowledge on archaeology across European organizations,CAA2016: Oceans of Data Proceedings of the 44th Conference on Computer Applications and Quantitative Methods in Archaeology,2018-12-31
Enhancing archaeological interpretation with volume calculations. An integrated method of 3D recording and modeling,CAA2016: Oceans of Data Proceedings of the 44th Conference on Computer Applications and Quantitative Methods in Archaeology,2018-12-31
"Experiments in the automatic detection of archaeological features in remotely sensed data from Great Plains Villages, USA",CAA2016: Oceans of Data Proceedings of the 44th Conference on Computer Applications and Quantitative Methods in Archaeology,2018-12-31
Interpolating 3D stratigraphy from indirect information,CAA2016: Oceans of Data Proceedings of the 44th Conference on Computer Applications and Quantitative Methods in Archaeology,2018-12-31
Special issue-social responsibility and continuity in family firms,European Journal of Family Business,2018-12-31
Barriers or motivation? career progress in the family firm: Daughters' perspective,European Journal of Family Business,2018-12-31
"The organizational culture of family enterprises and their relationship with innovation in the municipality of Cajeme, Mexico",European Journal of Family Business,2018-12-31
The relevance and use of secondary data analysis in social work research,"Issues Around Aligning Theory, Research and Practice in Social Work Education",2018-12-31
Indigenising forensic social work in South Africa,"Issues Around Aligning Theory, Research and Practice in Social Work Education",2018-12-31
Foreword,"Issues Around Aligning Theory, Research and Practice in Social Work Education",2018-12-31
This side ... that side? Social work transcending national borders through international exchange programme,"Issues Around Aligning Theory, Research and Practice in Social Work Education",2018-12-31
Ptrface,"Issues Around Aligning Theory, Research and Practice in Social Work Education",2018-12-31
Narrating the real story: The significance of communication and report writing in social work,"Issues Around Aligning Theory, Research and Practice in Social Work Education",2018-12-31
Social work with transnational migrant children in South Africa,"Issues Around Aligning Theory, Research and Practice in Social Work Education",2018-12-31
"Culture, stories and narratives in social work education","Issues Around Aligning Theory, Research and Practice in Social Work Education",2018-12-31
Introduction: Epistemology and theory framing for this volume,"Issues Around Aligning Theory, Research and Practice in Social Work Education",2018-12-31
"Issues Around Aligning Theory, Research and Practice in Social Work Education","Issues Around Aligning Theory, Research and Practice in Social Work Education",2018-12-31
The typological change of motion expressions in Chinese revisited: Motion events in Old Chinese and its Modern Chinese translation,Studies in Language,2018-12-31
Effects of organisational structure on social value: Mediating role of financial performance,Management and Accounting Review,2018-12-31
Parameters of the Transition from a Cultural to a Political Program by the Czech and Slovak Elites in the Mid-19th Century,Journal of Nationalism Memory and Language Politics,2018-12-31
Nicholas Bhekinkosi Hepworth Bhengu's Lasting Legacy: World's Best Black Soul Crusader,Nicholas Bhekinkosi Hepworth Bhengu's Lasting Legacy: World's Best Black Soul Crusader,2018-12-31
Editorial: Reflections on Islamophobia in Central and Eastern Europe,Journal of Nationalism Memory and Language Politics,2018-12-31
China’s language services as an emerging industry,Babel,2018-12-31
"Human impersonal pronouns in West Germanic: A questionnaire-based comparative study of Afrikaans, Dutch and English",Studies in Language,2018-12-31
Influence of soil macrofauna on soil organic carbon content,Ochrona Srodowiska i Zasobow Naturalnych,2018-12-31
"Contamination of bottom sediments by lead, zinc and cadmium in Rzeszow reservoir",Ochrona Srodowiska i Zasobow Naturalnych,2018-12-31
"Comparison of Fe, Zn, Mn, Cu, Cd and Pb concentration in spruce needles collected in the area of Gdansk and Gdynia in Northern Poland",Ochrona Srodowiska i Zasobow Naturalnych,2018-12-31
The importance of data collection for qualitative research in social work,"Issues Around Aligning Theory, Research and Practice in Social Work Education",2018-12-31
"Innovation in outcomes-based water quality policy: A case study from the Yahara watershed, Wisconsin, USA",Case Studies in the Environment,2018-12-31
"What drives environmental decisions in a contested, but loved, landscape?",Case Studies in the Environment,2018-12-31
"Learning the language of the river: Understanding indigenous water governance with o-pipon-na-piwin Cree nation, northern Manitoba, Canada",Case Studies in the Environment,2018-12-31
Evaluating risk after a hazardous waste treatment plant released persistent organic pollutants. Part 2. Ecotoxicology and human health risk,Case Studies in the Environment,2018-12-31
Community-centred infrastructure design process for resilience building in South African informal settlements: The “genius of space” solid waste and greywater infrastructure project,Case Studies in the Environment,2018-12-31
"Managing populations, diseases, and landowner perceptions of prairie dogs for black-footed ferret reintroduction",Case Studies in the Environment,2018-12-31
The American black duck: Three decades of science-based adaptive management,Case Studies in the Environment,2018-12-31
"Growing gardens sustainability: Challenges and opportunities facing the strategic expansion of Anchorage, Alaska's community garden system",Case Studies in the Environment,2018-12-31
"Evaluating risk after a hazardous waste treatment plant released persistent organic pollutants: Part 3, Aboriginal health risk and impact",Case Studies in the Environment,2018-12-31
Solar sacrifice: How an Arizona church lost money by going solar-and solutions for when energy incentives fail to serve the needs of nonprofits,Case Studies in the Environment,2018-12-31
Collaborative creation and implementation of a Michigan sustainability case on urban farming in Detroit,Case Studies in the Environment,2018-12-31
An estimate of the financial cost of peatland restoration in Indonesia,Case Studies in the Environment,2018-12-31
When should scientists become public activists? The oxygen depletion crisis,Case Studies in the Environment,2018-12-31
Addressing estrangement from nature with a night class in the forest,Case Studies in the Environment,2018-12-31
"The role of sociocultural beliefs in sustainable resource management: A case study of traditional water harvesting systems in Kathmandu Valley, Nepal",Case Studies in the Environment,2018-12-31
Pedagogy for the ethical dimensions of energy transitions from Ethiopia to appalachia,Case Studies in the Environment,2018-12-31
Evaluating risk after a hazardous waste treatment plant released persistent organic pollutants. Part 1. Background and policy issues,Case Studies in the Environment,2018-12-31
Mercury and air toxics standards: Co-benefits and the courts in U.S. Cost-benefit analysis,Case Studies in the Environment,2018-12-31
Balancing stakeholder expectations in sustainability management: The rinker center project at Stetson University,Case Studies in the Environment,2018-12-31
A Short Course on Spatial Econometrics and GIS,Region,2018-12-31
Supervision during social work fieldwork practice: A case of the University of Venda,"Issues Around Aligning Theory, Research and Practice in Social Work Education",2018-12-31
"Fighting to cooperate: Litigation, collaboration, and water management in the upper Deschutes River basin, Oregon",Case Studies in the Environment,2018-12-31
Installations for cleaning exhaust fumes from dust-gas pollutants,Ochrona Srodowiska i Zasobow Naturalnych,2018-12-31
Preaching conservation to Andean pentecostal communities: A case of engaging key stakeholders of religious communities in Peruvian tropical forests,Case Studies in the Environment,2018-12-31
"Human, not too Human: Technology, Rites, and Identity",Open Information Science,2018-12-31
"Entertainment gratification, informative gratification, web irritation and self-efficacy as motivational factors to online shopping intention",Management and Accounting Review,2018-12-31
Environmental awareness: The case of climate change,Russian Journal of Economics,2018-12-31
Towards a general theory of social and economic development: Evolution of coordination mechanisms,Russian Journal of Economics,2018-12-31
"User education, adjustment factors and use of online databases by postgraduate students in Nigeria",Open Information Science,2018-12-31
Risk Management without Risk Reduction? The Role of Social Vulnerability in Post-Disaster Recovery after Floods in Germany,Raumforschung und Raumordnung,2018-12-31
Pay-as-you-go: How a business model is helping light millions of rural Kenyan homes with solar,Case Studies in the Environment,2018-12-31
Towards a national infrastructure for semi-automatic mapping of cultural heritage in Norway,CAA2016: Oceans of Data Proceedings of the 44th Conference on Computer Applications and Quantitative Methods in Archaeology,2018-12-31
Argument realization of psychological verbs,Studies in Language,2018-12-31
Two-component structure of household income distributions in Poland,Equilibrium. Quarterly Journal of Economics and Economic Policy,2018-12-31
Decomposition of growth rates for the Russian economy,Russian Journal of Economics,2018-12-31
An American at the origins of European Sprachwissenschaft and Italian historiographical thought: William Dwight Whitney and his approach to linguistic issues,Historiographia Linguistica,2018-12-31
"Édouard Pichon, phonologue",Historiographia Linguistica,2018-12-31
Among Latinists: Alfred Ernout and Einar Löfstedt's responses to the 'Nijmegen School' and its Christian Sondersprache hypothesis,Historiographia Linguistica,2018-12-31
What do American students learn from Africa? International service learning and social work education,"Issues Around Aligning Theory, Research and Practice in Social Work Education",2018-12-31
Reference tracking in Tima and its interplay with split ergative marking,Studies in Language,2018-12-31
Preparation and characterization of the silk fibroin 3D scaffolds with porous and interconnected structure,Journal of Fiber Bioengineering and Informatics,2018-12-31
Force analysis of the support belt and pregnant woman for relieving the pregnancy-related waist pain,Journal of Fiber Bioengineering and Informatics,2018-12-31
Exploration and Experimental Research on the Mechanism of Electromagnetic Driven Weft Insertion <sup>?</sup>,Journal of Fiber Bioengineering and Informatics,2018-12-31
Classification of Female Apparel using Convolutional Neural Network,Journal of Fiber Bioengineering and Informatics,2018-12-31
Effect of washing and drying conditions on dimensional change in various articles of knitted clothing <sup>⋆</sup>,Journal of Fiber Bioengineering and Informatics,2018-12-31
Formation of sects in a religious market,Russian Journal of Economics,2018-12-31
Speaker-oriented syntax and root clause complementizers,Linguistic Variation,2018-12-31
Complementizers and variation in the CP,Linguistic Variation,2018-12-31
Complementizer doubling and subject extraction in Italo-Romance,Linguistic Variation,2018-12-31
"Finite and non-finite complementation, particles and control in Aromanian, compared to other Romance varieties and Albanian",Linguistic Variation,2018-12-31
Carbon management in an emissions-intensive industry in a developing economy: Cement manufacturing in Indonesia,Case Studies in the Environment,2018-12-31
Bioremediation of textile dyes: Appraisal of conventional and biological approaches,Phytobiont and Ecosystem Restitution,2018-12-31
Development of field platforms for bioremediation of heavy metal-contaminated site,Phytobiont and Ecosystem Restitution,2018-12-31
Some investigations observed in cultured seabass (Dicentrarchus labrax L.) infested with Lernanthropus kroyeri and Nerocila orbignyi and exposed to cadmium pollution during different seasons at Dammaitte province,Phytobiont and Ecosystem Restitution,2018-12-31
Role of fungi in dye removal,Phytobiont and Ecosystem Restitution,2018-12-31
Phytobiont and ecosystem restitution,Phytobiont and Ecosystem Restitution,2018-12-31
Rhizospheric microbe-plant exudate formulation for enhanced restoration of contaminated agricultural soil,Phytobiont and Ecosystem Restitution,2018-12-31
Biocontrol agents as strategy of agro-ecosystem management to restitution of productive soils for food production,Phytobiont and Ecosystem Restitution,2018-12-31
Application of plant-microbe interactions in contaminated agroecosystem management,Phytobiont and Ecosystem Restitution,2018-12-31
The importance of plant-microbe interaction for the bioremediation of dyes and heavy metals,Phytobiont and Ecosystem Restitution,2018-12-31
Nanobiotechnology approaches for crop protection,Phytobiont and Ecosystem Restitution,2018-12-31
Roles of plants and bacteria in bioremediation of petroleum in contaminated soils,Phytobiont and Ecosystem Restitution,2018-12-31
"Water quality assessment and treatment of pharmaceutical industry wastewater: A case study of pharmacity Selaqui, Dehradun of Uttarakhand State, India",Phytobiont and Ecosystem Restitution,2018-12-31
Seasonal variations and prevalence of some external parasites affecting freshwater fishes reared at upper Egypt,Phytobiont and Ecosystem Restitution,2018-12-31
Rhizoremediation of azodyes by constructed wetland technology using Typha latifolia,Phytobiont and Ecosystem Restitution,2018-12-31
Does mycoremediation reduce the soil toxicant?,Phytobiont and Ecosystem Restitution,2018-12-31
On relative complementizers and relative pronouns,Linguistic Variation,2018-12-31
Glaucon’s Question Ignored Republic 519a-521b,Akropolis,2018-12-31
Democritus on being and ought: Some remarks on the existential side of early greek atomism,Akropolis,2018-12-31
Raising an athlete for christ: Saint john chrysostom and education in Byzantium,Akropolis,2018-12-31
Using PLS-SEM to model Family Business Behavior when addressing the protocol,European Journal of Family Business,2018-12-31
Sources of greenhouse gas emissions from land reclamation development in Indonesia,Case Studies in the Environment,2018-12-31
Productivity effects of the ownership concentration in polish employee–owned companies,Equilibrium. Quarterly Journal of Economics and Economic Policy,2018-12-31
Nicknames among greeks of the archaic and classical periods: Preliminary thoughts of a general theoretical nature<sup>1</sup>,Akropolis,2018-12-31
Variation in wh-expressions asking for a reason,Linguistic Variation,2018-12-31
"Using a community vote for wind energy development decision-making in King Island, Tasmania",Case Studies in the Environment,2018-12-31
Sales range and innovative activity in the manufacturing system of poland,Equilibrium. Quarterly Journal of Economics and Economic Policy,2018-12-31
New additions to the exotic flora of Chile,Darwiniana,2018-12-31
Trade interdependence between russia vs. The european union and china within the context of the competitiveness of the Russian economy,Equilibrium. Quarterly Journal of Economics and Economic Policy,2018-12-31
The impact of the diversification of revenues on ngos’ commercialization: Evidence from poland,Equilibrium. Quarterly Journal of Economics and Economic Policy,2018-12-31
Preface,"Radiology in Global Health: Strategies, Implementation, and Applications",2018-12-31
Foreword,"Radiology in Global Health: Strategies, Implementation, and Applications",2018-12-31
Negation in San Juan Quiahije Chatino Sign language: The integration and adaptation of conventional gestures,Gesture,2018-12-31
What the hands tell us about mathematical learning: A synthesis of gesture use in mathematics instruction,Gesture,2018-12-31
The multidimensionality of pointing,Gesture,2018-12-31
Open science badges,Gesture,2018-12-31
Modeling applications in environmental bioremediation studies,Phytobiont and Ecosystem Restitution,2018-12-31
Preface,Freeze-Out and HYSYS Implementation,2018-12-31
"Recovery of thermodynamic hydrate inhibitors with supersonic separators in offshore processing of natural gas: The cases of methanol, ethanol, and monoethylene glycol",Freeze-Out and HYSYS Implementation,2018-12-31
Offshore processing of CO<inf>2</inf>-rich natural gas and the role of supersonic separators-introduction,Freeze-Out and HYSYS Implementation,2018-12-31
"Offshore processing of CO<inf>2</inf>-Rich natural gas with supersonic separator: Multiphase sound speed, CO<inf>2</inf> freeze-out and HYSYS implementation",Freeze-Out and HYSYS Implementation,2018-12-31
Conventional offshore processing of CO<inf>2</inf>-Rich natural gas,Freeze-Out and HYSYS Implementation,2018-12-31
Supersonic separators for offshore processing of CO<inf>2</inf>-Rich natural gas: Comparison with conventional routes,Freeze-Out and HYSYS Implementation,2018-12-31
Overview of natural gas processing with supersonic separator,Freeze-Out and HYSYS Implementation,2018-12-31
Modeling of supersonic separators and membrane permeation units for processing of CO<inf>2</inf>-Rich natural gas with HYSYS implementation,Freeze-Out and HYSYS Implementation,2018-12-31
Thermodynamic modeling of CO<inf>2</inf>-Rich natural gas fluid systems,Freeze-Out and HYSYS Implementation,2018-12-31
Modeling of CO<inf>2</inf> freeze-out in the processing of CO<inf>2</inf>-Rich natural gas,Freeze-Out and HYSYS Implementation,2018-12-31
Re-inventing Africa's development: Linking Africa to the Korean development model,Re-Inventing Africa's Development: Linking Africa to the Korean Development Model,2018-12-31
Best practices in responsible land use for improving biodiversity at a utility-scale solar facility,Case Studies in the Environment,2018-12-31
Pursuing the promise of case studies for sustainability and environmental education: Converging initiatives,Case Studies in the Environment,2018-12-31
Logic functions and equations: Binary models for computer science,Logic Functions and Equations: Binary Models for Computer Science,2018-12-31
A Novel MPPT Method Based on Cuckoo Search Algorithm and Golden Section Search Algorithm for Partially Shaded PV System,"2018 IEEE Electrical Power and Energy Conference, EPEC 2018",2018-12-31
Leadership in the family business in relation to the desirable attributes for the successor: Evidence from Mexico,European Journal of Family Business,2018-12-31
Lesser flamingos: Descendants of Phoenix,Lesser Flamingos: Descendants of Phoenix,2018-12-31
Phytobionts of wastewater and restitution,Phytobiont and Ecosystem Restitution,2018-12-31
"Ownership, productivity and firms' life-cycle",European Journal of Family Business,2018-12-31
Epidemiology of animal bite reported at animal bite clinic during 2015-16 at a tertiary care centre of Himachal Pradesh,Indian Journal of Community Health,2018-12-31
Absolute quantitation of poly(R)-3-hydroxybutyric acid using spectrofluorometry in recombinant Escherichia coli,Biology Methods and Protocols,2018-12-31
An array-based melt curve analysis method for the identification and classification of closely related pathogen strains,Biology Methods and Protocols,2018-12-31
Homology-based enzymatic DNA fragment assembly-based illumina sequencing library preparation,Biology Methods and Protocols,2018-12-31
Estimation of different entropies via Abel–Gontscharoff Green functions and Fink’s identity using Jensen type functionals,Arab Journal of Mathematical Sciences,2018-12-31
Non-family employees: Levels of job satisfaction and organizational justice in small and medium-sized family and non-family firms,European Journal of Family Business,2018-12-31
A cost-effective technique for generating preservable biomass smoke extract and measuring its effect on cell receptor expression in human bronchial epithelial cells,Biology Methods and Protocols,2018-12-31
"Socially not acceptable: Lessons from a wind farm project in St-Valentin, Quebec",Case Studies in the Environment,2018-12-31
Thermodynamic speed of sound for multiphase multi-reactive equilibrium systems,Freeze-Out and HYSYS Implementation,2018-12-31
"Rational vs. (?) communicative planning methods: Theoretical starting points, empirical findings from experiments and considerations for development of methods on the example of the utility-analysis",Raumforschung und Raumordnung,2018-12-31
Using the courts to protect the environment in Argentina: Accountability pitfalls when judges have the last word,Case Studies in the Environment,2018-12-31
Satire as a genre,Pragmatics and Cognition,2018-12-31
A cognitive framework for understanding genre: The entrenchment-and-conventionalization model,Pragmatics and Cognition,2018-12-31
Argumentation as a dimension of discourse the case of news articles,Pragmatics and Cognition,2018-12-31
Genre as struggle Toward a cognitive-pragmatic account of an emerging genre,Pragmatics and Cognition,2018-12-31
Building brand narratives with hashtags on Twitter: A cognitive-pragmatic analysis on the emergence of a new advertising subgenre,Pragmatics and Cognition,2018-12-31
Genre as cognitive construction an analysis of discourse connectors in academic lectures,Pragmatics and Cognition,2018-12-31
Genre and constructional analysis,Pragmatics and Cognition,2018-12-31
Introduction: Cognitive perspectives on genre,Pragmatics and Cognition,2018-12-31
From Habits to Rituals: Rituals as Social Habits,Open Information Science,2018-12-31
"The cycle of trust building, co-learning, capability development, and confidence building: Application of a co-innovation approach in a multi-stakeholder project",Case Studies in the Environment,2018-12-31
"Heavy metals, polycyclic aromatic hydrocarbons (PAHs), radioactive materials, xenobiotic, pesticides, hazardous chemicals and dyes bioremediation",Phytobiont and Ecosystem Restitution,2018-12-31
"A fast, sensitive and cost-effective method for nucleic acid detection using non-radioactive probes",Biology Methods and Protocols,2018-12-31
"The changing role of scientists in supporting collaborative land and water policy in Canterbury, New Zealand",Case Studies in the Environment,2018-12-31
Trauma imaging in global health radiology,"Radiology in Global Health: Strategies, Implementation, and Applications",2018-12-31
Introduction,"Radiology in Global Health: Strategies, Implementation, and Applications",2018-12-31
Mobile strategies for global health radiology,"Radiology in Global Health: Strategies, Implementation, and Applications",2018-12-31
Radiation oncology in global health,"Radiology in Global Health: Strategies, Implementation, and Applications",2018-12-31
Economics of sustainable radiology in global health,"Radiology in Global Health: Strategies, Implementation, and Applications",2018-12-31
Medical ethics in global health radiology,"Radiology in Global Health: Strategies, Implementation, and Applications",2018-12-31
Disaster response,"Radiology in Global Health: Strategies, Implementation, and Applications",2018-12-31
Interventional procedures for global health radiology,"Radiology in Global Health: Strategies, Implementation, and Applications",2018-12-31
"Radiology in global health: Strategies, implementation, and applications","Radiology in Global Health: Strategies, Implementation, and Applications",2018-12-31
The role of radiology in global health,"Radiology in Global Health: Strategies, Implementation, and Applications",2018-12-31
Cardiovascular imaging in global health radiology,"Radiology in Global Health: Strategies, Implementation, and Applications",2018-12-31
